Parcel,Address,Date posted,New,Municipality,Cleveland Ward,Bldgs,Status
112-20-009,14712 Lake Shore Blvd,43340,,Cleveland,8,0,Vacant lot
136-22-034,4227 E 98th St,43340,,Cleveland,2,1,Sched for demolition
136-26-120,4259 E 114th St,43340,,Cleveland,2,0,Pending transfer
137-07-002,3579 E 116th St,43340,,Cleveland,2,0,Pending transfer
137-07-005,3589 E 116th St,43340,,Cleveland,2,0,Vacant lot
137-07-016,3627 E 116th St,43340,,Cleveland,2,0,Pending transfer
137-08-092,3701 E 117th St,43340,,Cleveland,2,1,Sched for demolition
136-06-055,11300 Dove Ave,43339,,Cleveland,2,0,Vacant lot
136-18-032,4124 E 113th St,43339,,Cleveland,2,1,Sched for demolition
136-18-097,11205 La Rose Ave,43339,,Cleveland,2,1,Sched for demolition
002-21-024,7908 Madison Ave,43336,,Cleveland,15,0,Vacant lot
105-27-120,1015 E 72nd Pl (aka Constance Ct),43336,,Cleveland,10,0,Pending transfer
107-02-033,943 Maud Ave (fr & Rear),43336,,Cleveland,9,0,Vacant lot
108-02-051,693 E 92nd St,43336,,Cleveland,10,0,Vacant lot
108-08-015,10125 Elk Ave,43336,,Cleveland,10,0,Vacant lot
110-11-021,921 Thornhill Dr,43336,,Cleveland,10,0,Vacant lot
111-07-129,11805 Shadeland Ave,43336,,Cleveland,10,0,Vacant lot
111-22-093,13702 Earlwood Rd,43336,,Cleveland,10,0,Vacant lot
111-27-133,13902 Idarose Ave,43336,,Cleveland,10,0,Vacant lot
115-02-002,850 E 144th St,43336,,Cleveland,10,0,Vacant lot
115-03-056,14206 Nell Ave,43336,,Cleveland,10,0,Vacant lot
115-03-075,957 E 141st St,43336,,Cleveland,10,0,Vacant lot
115-03-084,921 E 141st St,43336,,Cleveland,10,0,Vacant lot
115-15-022,14724 Wemple Rd,43336,,Cleveland,10,0,Vacant lot
115-30-110,15357 Yorick Ave,43336,,Cleveland,8,1,Unavailable - Demo under contract
117-17-016,1867 Rudwick Rd,43336,,Cleveland,10,0,Pending transfer
120-05-034,1362 Lakeview Ave,43336,,Cleveland,9,0,Pending transfer
125-19-081,3028 Charles Carr Pl,43336,,Cleveland,5,0,Pending transfer
128-17-112,10004 Manor Ave,43336,,Cleveland,4,0,Vacant lot
129-23-002,11824 Forest Ave,43336,,Cleveland,4,0,Vacant lot
136-18-144,4132 E 111th St,43336,,Cleveland,2,0,Pending transfer
136-26-032,4282 E 116th St,43336,,Cleveland,2,0,Pending transfer
138-05-036,13421 Harvard Ave,43336,,Cleveland,2,1,Sched for demolition
139-02-048,3686 E 142nd St,43336,,Cleveland,2,0,Vacant lot
641-08-057,19971 S Lake Shore Blvd,43336,,Euclid,,1,Pending transfer
108-13-086,489 E 106th St,43335,,Cleveland,10,0,Vacant lot
109-12-016,10531 Amor Ave,43335,,Cleveland,9,0,Pending transfer
110-09-078,693 E 127th St,43335,,Cleveland,10,1,Sched for demolition
112-03-115,13624 Eaglesmere Ave,43335,,Cleveland,8,0,Vacant lot
116-32-019,1382 E 187th St,43335,,Cleveland,10,0,Vacant lot
135-06-033,10115 Sandusky Ave,43335,,Cleveland,2,1,Sched for demolition
135-08-123,3597 E 104th St,43335,,Cleveland,6,0,Vacant lot
135-09-119,3680 E 106th St,43335,,Cleveland,2,0,Vacant lot
135-13-037,3626 E 113th St,43335,,Cleveland,2,0,Vacant lot
135-13-063,3629 E 113th St,43335,,Cleveland,2,0,Pending transfer
135-13-068,3649 E 113th St,43335,,Cleveland,2,0,Pending transfer
135-13-072,3665 E 113th St,43335,,Cleveland,2,0,Vacant lot
136-02-051,9809 Nelson Ave,43335,,Cleveland,2,0,Pending transfer
136-02-105,3899 E 96th St,43335,,Cleveland,2,1,Sched for demolition
136-04-118,10421 Avon Ave,43335,,Cleveland,2,1,Sched for demolition
137-06-093,3575 E 138th St,43335,,Cleveland,4,1,Unavailable - Demo under contract
137-13-058,3643 E 139th St,43335,,Cleveland,2,1,Sched for demolition
137-13-081,3642 E 139th St,43335,,Cleveland,4,1,Sched for demolition
137-23-073,12700 Angelus Ave,43335,,Cleveland,2,0,Vacant lot
138-02-141,3937 E 120th St,43335,,Cleveland,2,1,Sched for demolition
138-05-095,13308 Benwood Ave,43335,,Cleveland,2,1,Sched for demolition
138-06-021,13913 Edgewood Ave,43335,,Cleveland,2,1,Sched for demolition
138-06-097,3996 E 141st St,43335,,Cleveland,2,1,Sched for demolition
138-10-075,12811 Ferris Ave,43335,,Cleveland,2,0,Pending transfer
139-01-145,3571 E 140th St,43335,,Cleveland,2,0,Vacant lot
139-02-108,3690 E 143rd St,43335,,Cleveland,2,0,Vacant lot
139-02-121,3636 E 143rd St,43335,,Cleveland,2,0,Vacant lot
139-04-093,3836 E 144th St,43335,,Cleveland,2,0,Vacant lot
139-07-076,3843 E 146th St,43335,,Cleveland,2,0,Vacant lot
139-08-058,3799 E 146th St,43335,,Cleveland,2,0,Pending transfer
139-11-080,3572 E 149th St,43335,,Cleveland,2,0,Vacant lot
139-11-082,3580 E 149th St,43335,,Cleveland,2,0,Vacant lot
139-11-090,3614 E 149th St,43335,,Cleveland,2,0,Vacant lot
139-12-012,3669 E 147th St,43335,,Cleveland,2,0,Vacant lot
139-12-116,3640 E 151st St,43335,,Cleveland,2,0,Vacant lot
139-14-087,3836 E 149th St,43335,,Cleveland,2,0,Vacant lot
784-08-035,5544 Garden St,43335,,Maple Heights,,0,Pending transfer
107-14-070,1356 E 88th St,43334,,Cleveland,7,0,Vacant lot
125-35-013,3457 E 71st St,43334,,Cleveland,6,0,Vacant lot
129-09-155,11905 Cromwell Ave,43334,,Cleveland,6,0,Vacant lot
130-20-113,3415 E 117,43334,,Cleveland,2,0,Vacant lot
130-21-079,3378 E 118th St,43334,,Cleveland,2,0,Vacant lot
132-10-166,3845 E 55th St,43334,,Cleveland,12,0,Vacant lot
134-22-002,7614 Jeffries Ave,43334,,Cleveland,2,0,Vacant lot
134-23-013,8015 Vineyard Ave,43334,,Cleveland,2,0,Vacant lot
135-03-132,9915,43334,,Cleveland,6,0,Pending transfer
135-04-045,9315 Dunlap Ave,43334,,Cleveland,2,1,Sched for demolition
135-05-038,9714 Aetna Ave,43334,,Cleveland,2,1,Sched for demolition
130-17-056,3373 E 146th St,43333,,Cleveland,1,0,Vacant lot
130-20-062,3470 E 119th St,43333,,Cleveland,2,0,Pending transfer
125-26-123,5757 Portage Ave (fr & Rear),43332,,Cleveland,5,0,Vacant lot
136-02-057,9629 Nelson Ave,43332,,Cleveland,2,0,Vacant lot
111-06-105,475 E 118th St,43330,,Cleveland,10,1,Pending transfer
136-16-104,4087 E 104th St,43330,,Cleveland,2,1,Sched for demolition
001-30-024,1985 W 93rd St,43329,,Cleveland,15,0,Vacant lot
005-27-125,9701 Kirkwood,43329,,Cleveland,15,1,Pending transfer
016-14-140,3182 W 48th St,43329,,Cleveland,14,1,Sched for demolition
125-25-062,3269 E 56 St,43329,,Cleveland,5,0,Pending transfer
125-25-063,3267 E. 56th St,43329,,Cleveland,5,0,Sched for demolition
125-34-019,7214 Morgan Ave,43329,,Cleveland,6,0,Vacant lot
131-20-061,3448 E 52nd Pl,43329,,Cleveland,5,0,Vacant lot
132-10-134,3814 E 55th St,43329,,Cleveland,12,0,Vacant lot
016-18-033,3510 W 56th St,43328,,Cleveland,14,1,Pending transfer
107-05-109,8010 Simon Ave,43328,,Cleveland,9,0,Vacant lot
123-22-018,4940 Mead Ave,43328,,Cleveland,5,0,Vacant lot
683-05-003,3852 Kirkwood Rd,43328,,Cleveland Heights,,1,Pending transfer
104-14-129,1252 E 59th St (front & Rear),43327,,Cleveland,7,0,Vacant lot
105-32-124,1133 E 77th St,43327,,Cleveland,9,0,Vacant lot
109-15-141,10728 Morison Ave,43327,,Cleveland,9,0,Pending transfer
120-06-049,10613 Lee Ave,43327,,Cleveland,9,0,Pending transfer
127-11-005,3274 E 93rd St,43327,,Cleveland,6,0,Vacant lot
130-20-132,3446 E 117th St,43327,,Cleveland,,0,Pending transfer
132-15-124,6803 Gertrude Ave,43327,,Cleveland,12,0,Vacant lot
134-10-059,4172 E 175th St (transfer W 134-10-058),43327,,,,0,Sched for demolition
110-15-099,12818 Arlington Ave,43322,,Cleveland,10,0,Vacant lot
113-20-113,16105 Trafalgar Ave,43321,,Cleveland,8,1,Pending transfer
115-02-041,854 E 143rd St,43321,,Cleveland,10,0,Vacant lot
131-23-039,5417 Caleb Ct,43321,,Cleveland,5,0,Vacant lot
110-14-160,12717 Woodside Ave,43320,,Cleveland,10,0,Vacant lot
110-24-020,12316 Saywell Ave,43320,,Cleveland,9,1,Unavailable - Demo under contract
110-31-015,1259 E 114th St,43320,,Cleveland,9,1,Sched for demolition
129-09-017,11716 Larchmere Ave,43320,,Cleveland,6,0,Vacant lot
132-24-039,6719 Clement Ave,43320,,Cleveland,12,0,Vacant lot
002-09-114,1352 W 67th St,43318,,Cleveland,15,0,Pending transfer
104-13-025,1188 Norwood Rd,43318,,Cleveland,7,0,Vacant lot
127-27-057,3408 E 116th St,43318,,Cleveland,4,0,Vacant lot
128-22-004,3119 E 99th St,43318,,Cleveland,4,0,Vacant lot
128-27-085,11430 Forest Ave,43318,,Cleveland,4,0,Vacant lot
132-14-026,6627 Fullerton Ave,43318,,Cleveland,12,0,Vacant lot
471-03-009,10641 Snow Rd,43318,,Parma Heights,,0,Pending transfer
471-03-053,,43318,,Parma Heights,,0,Pending transfer
671-04-140,13401 Milan Rd,43318,,East Cleveland,,0,Vacant lot
672-01-042,1780 Auburndale Ave,43318,,East Cleveland,,0,Pending transfer
673-02-041,1714 Collamer St,43318,,East Cleveland,,0,Vacant lot
118-30-040,2365 E 63rd St,43314,,Cleveland,5,0,Vacant lot
683-17-038,3603 Berkeley Rd,43314,,Cleveland Heights,,1,Pending transfer
139-03-109,3832 E 144th St,43313,,Cleveland,2,0,Vacant lot
681-07-116,927 Nela View Rd,43313,,Cleveland Heights,,0,Vacant lot
106-12-002,1507 E 66th St,43312,,Cleveland,7,0,Vacant lot
107-05-078,7914 Korman Ave,43312,,Cleveland,9,0,Pending transfer
107-05-080,7915 Korman Ave,43312,,Cleveland,9,0,Vacant lot
128-11-032,10017 Elwell Ave,43312,,Cleveland,4,0,Vacant lot
128-14-077,10409 Parkview Ave,43312,,Cleveland,4,0,Vacant lot
111-18-003,443 Cleveland Rd,43306,,Cleveland,10,0,Vacant lot
138-20-020,14214 Caine Ave,43306,,Cleveland,1,1,Sched for demolition
546-33-063,13710 Cranwood Dr,43306,,Garfield Heights,,1,Pending transfer
671-11-020,14608 Shaw Ave,43306,,East Cleveland,,1,Sched for demolition
108-22-004,10110 Garfield Ave,43305,,Cleveland,9,0,Vacant lot
135-20-094,11010 Revere Ave,43305,,Cleveland,2,1,Unavailable - Demo under contract
006-23-089,2247 W 53rd St,43304,,Cleveland,3,0,Vacant lot
133-07-008,3619 E 80 St,43304,,Cleveland,6,0,Vacant lot
134-14-010,8301 Beman Ave,43304,,Cleveland,2,0,Pending transfer
002-22-084,1907 W 77th St (fr & Rear),43301,,Cleveland,15,0,Pending transfer
002-22-093,1932 W 75,43301,,Cleveland,15,0,Pending transfer
130-01-174,11723 Havel Ave,43301,,Cleveland,4,0,Vacant lot
115-09-048,14917 Aspinwall Ave,43300,,Cleveland,10,0,Pending transfer
116-14-093,711 E 162nd St,43300,,Cleveland,8,1,Unavailable - Demo under contract
131-20-075,3462 E 52nd St,43300,,Cleveland,5,0,Vacant lot
126-36-059,2888 Alpine St,43299,,Cleveland,6,0,Vacant lot
128-01-007,2633 Woodhill Rd,43299,,Cleveland,6,0,Vacant lot
139-02-101,3718 E 143rd St,43299,,Cleveland,2,0,Vacant lot
673-17-013,16204 Greyton Rd,43299,,East Cleveland,,1,Sched for demolition
108-10-016,527 E 102nd St,43298,,Cleveland,10,0,Vacant lot
111-07-021,386 Eddy Rd,43298,,Cleveland,10,0,Vacant lot
135-12-066,3666 E 112th St,43298,,Cleveland,2,0,Vacant lot
138-02-092,3935 E 121st St,43298,,Cleveland,2,1,Sched for demolition
009-03-045,4002 W 22nd St,43297,,Cleveland,12,1,Pending transfer
106-05-028,1412 E 80th St,43297,,Cleveland,7,0,Vacant lot
106-06-085,1372 E 84th St,43297,,Cleveland,7,0,Vacant lot
106-22-135,1556 E 84th St,43297,,Cleveland,7,0,Vacant lot
107-13-017,1448 Crawford Ave,43297,,Cleveland,7,0,Vacant lot
125-36-009,3447 E 75th St (fr & Rear),43297,,Cleveland,6,0,Vacant lot
129-15-122,2806 E 120th St,43297,,Cleveland,6,0,Vacant lot
005-14-071,3151 W 104th St,43293,,Cleveland,11,0,Vacant lot
005-27-124,9705 Kirkwood Ave,43293,,Cleveland,15,1,Pending transfer
132-25-147,6827 Claasen Ave,43293,,Cleveland,12,0,Vacant lot
133-16-093,7922 Spafford Rd,43293,,Cleveland,12,0,Vacant lot
643-23-042,790 E 258th St,43292,,Euclid,,1,Pending transfer
671-01-106,1252 E 135th St,43292,,East Cleveland,,0,Pending transfer
108-07-108,715 E 95th St,43287,,Cleveland,10,0,Pending transfer
108-14-110,10720 Sprague Dr,43287,,Cleveland,10,0,Pending transfer
111-10-119,12418 Locke Ave,43287,,Cleveland,8,0,Vacant lot
124-02-060,2416 E 63rd St,43287,,Cleveland,5,0,Vacant lot
127-16-137,9412 Fuller Ave,43287,,Cleveland,6,0,Vacant lot
128-18-103,10215 Dickens Ave,43287,,Cleveland,4,0,Vacant lot
013-04-049,3568 W 61st St,43284,,Cleveland,14,1,Sched for demolition
016-10-166,3254 W 53rd Pl,43284,,Cleveland,14,1,Pending transfer
108-06-042,751 E 92nd St,43284,,Cleveland,10,0,Vacant lot
109-13-005,10730 Earle Ave,43284,,Cleveland,9,0,Pending transfer
112-21-077,497 E 148th St,43284,,Cleveland,8,0,Pending transfer
113-14-034,15619 Grovewood Ave,43284,,Cleveland,8,1,Sched for demolition
119-26-059,8006 Lucia Ave,43284,,Cleveland,6,0,Vacant lot
126-30-085,7917 Bristol Ave,43284,,Cleveland,5,0,Vacant lot
127-22-095,9508 Raymond Ave,43284,,Cleveland,6,1,Pending transfer
128-17-106,9900 Manor Ave,43284,,Cleveland,4,0,Vacant lot
129-30-028,3197 E 134th St,43284,,Cleveland,4,0,Vacant lot
131-32-072,3734 E 50th St,43284,,Cleveland,12,0,Pending transfer
132-12-037,5701 Fullerton Ave,43284,,Cleveland,12,0,Pending transfer
133-10-027,3822 E 78th St,43284,,Cleveland,12,0,Pending transfer
671-05-020,13302 Graham Ave,43284,,East Cleveland,,1,Sched for demolition
671-11-242,14603 Savannah Ave,43284,,East Cleveland,,1,Sched for demolition
671-17-100,14710 Alder Ave,43284,,East Cleveland,,1,Unavailable - Demo under contract
671-23-006,15000 Elm Ave,43284,,East Cleveland,,1,Sched for demolition
672-04-140,1207 Carlyon Rd,43284,,East Cleveland,,0,Vacant lot
673-03-084,1743 Allendale Ave,43284,,East Cleveland,,1,Sched for demolition
673-03-103,1772 Rosedale Ave,43284,,East Cleveland,,0,Pending transfer
673-03-107,1767 Rosedale Ave,43284,,East Cleveland,,0,Vacant lot
673-09-029,1832 Stanwood Rd,43284,,East Cleveland,,1,Sched for demolition
009-02-103,3929 W 22nd St,43279,,Cleveland,12,1,Pending transfer
106-02-101,1382 Russell Ave,43279,,Cleveland,7,0,Vacant lot
108-13-096,10533 Elk Ave,43279,,Cleveland,10,0,Vacant lot
108-14-095,597 E 107th St (fr & Rear),43279,,Cleveland,10,0,Vacant lot
109-19-086,10810 Olivet Ave,43279,,Cleveland,9,0,Vacant lot
110-05-009,704 E 124th St,43279,,Cleveland,10,1,Sched for demolition
110-17-191,914 E 131st St,43279,,Cleveland,10,0,Pending transfer
110-23-057,12413 Tuscora Ave,43279,,Cleveland,9,1,Unavailable - Demo under contract
112-26-046,14217 Jenne Ave,43279,,Cleveland,8,0,Vacant lot
117-13-031,1848 Lampson Rd,43279,,Cleveland,10,0,Vacant lot
117-15-022,17312 Endora Rd,43279,,Cleveland,10,1,Unavailable - Demo under contract
117-23-019,1990 Torbenson Dr,43279,,Cleveland,10,0,Vacant lot
130-04-001,3281 E 119th St,43279,,Cleveland,4,0,Pending transfer
130-05-011,3261 E 125th St,43279,,Cleveland,4,0,Vacant lot
130-06-043,3332 E 128th St,43279,,Cleveland,4,1,Sched for demolition
136-26-113,4283 E 114th St,43279,,Cleveland,2,1,Sched for demolition
137-04-040,3589 E 131st St,43279,,Cleveland,4,0,Vacant lot
546-33-188,4371 E 139th St,43279,,Garfield Heights,,0,Vacant lot
641-30-052,860 E 207th St,43279,,Euclid,,1,Sched for demolition
671-02-130,13500 Mann Ave,43279,,East Cleveland,,0,Vacant lot
671-16-110,14417 Elm Ave,43279,,East Cleveland,,1,Unavailable - Demo under contract
671-18-040,14107 Baldwin Ave,43279,,East Cleveland,,1,Unavailable - Demo under contract
671-19-082,13902 Beaumont St,43279,,East Cleveland,,1,Sched for demolition
671-19-089,1378 E 139 St,43279,,East Cleveland,,1,Sched for demolition
672-04-007,1199 E 125th St,43279,,East Cleveland,,0,Vacant lot
673-12-046,1832 Allendale Ave,43279,,East Cleveland,,1,Sched for demolition
006-07-066,7419 Colgate Ave,43276,,Cleveland,15,0,Pending transfer
006-09-019,6712 Colgate Ave,43276,,Cleveland,15,0,Vacant lot
104-16-024,5715 White Ave,43276,,Cleveland,7,0,Vacant lot
125-12-014,3049 E 65th St,43276,,Cleveland,5,0,Vacant lot
125-25-052,3236 E 57th St,43276,,Cleveland,5,0,Vacant lot
127-11-006,3278 E 93rd St,43276,,Cleveland,6,0,Vacant lot
129-16-148,2766 E 125th St,43276,,Cleveland,6,0,Vacant lot
139-05-089,14212 Edgewood Ave,43276,,Cleveland,1,1,Sched for demolition
135-20-065,11210 Greenwich Ave,43272,,Cleveland,2,1,Unavailable - Demo under contract
109-19-063,10924 Hathaway Ave,43269,,Cleveland,9,0,Vacant lot
116-26-086,1485 E 174th St,43269,,Cleveland,10,1,Unavailable - Demo under contract
131-28-020,3628 Independence Rd,43269,,Cleveland,12,0,Pending transfer
132-10-073,3805 E 53rd St,43269,,Cleveland,12,1,Unavailable - Demo under contract
132-22-078,4110 E 57th St,43269,,Cleveland,12,0,Vacant lot
134-13-111,8002 Goodman Ave,43269,,Cleveland,2,0,Vacant lot
136-02-101,3909 E 97th St,43269,,Cleveland,2,0,Sched for demolition
137-15-069,12110 Gay Ave,43269,,Cleveland,4,1,Pending transfer
143-01-093,16205 Clearview Ave,43269,,Cleveland,1,1,Sched for demolition
673-09-082,1896 Grasmere St,43269,,East Cleveland,,0,Vacant lot
007-28-085,4228 Hyde Ave,43263,,Cleveland,3,0,Pending transfer
017-05-096,3248 W 88th St,43263,,Cleveland,14,0,Pending transfer
104-21-048,6013 Utica Ave,43263,,Cleveland,7,0,Vacant lot
115-08-033,14715 Pepper Ave,43263,,Cleveland,10,0,Vacant lot
123-20-115,4672 Gallup Ave,43263,,Cleveland,5,0,Vacant lot
142-24-025,4594 E 147th St,43257,,Cleveland,1,1,Unavailable - Demo under contract
671-03-095,1447 E 134th St,43256,,East Cleveland,,1,Unavailable - Demo under contract
671-04-113,13700 Milan Ave,43256,,East Cleveland,,1,Sched for demolition
671-10-203,13913 Ardenall Ave,43256,,East Cleveland,,1,Sched for demolition
673-10-036,1851 Charles Rd,43256,,East Cleveland,,0,Vacant lot
013-03-063,3580 W 66th St,43255,,Cleveland,14,1,Sched for demolition
119-28-079,2206 E 82nd St,43255,,Cleveland,6,0,Pending transfer
130-22-140,3471 E 125th St,43255,,Cleveland,4,0,Vacant lot
131-32-137,3676 E 48th St,43255,,Cleveland,12,0,Vacant lot
115-31-071,15715 Mandalay Ave,43251,,Cleveland,8,0,Vacant lot
117-22-028,17730 Endora Rd,43251,,Cleveland,10,0,Vacant lot
123-31-156,5012 Anson Ave,43251,,Cleveland,5,0,Vacant lot
127-24-007,3407 E 102nd St,43251,,Cleveland,6,0,Vacant lot
673-04-022,1762 Taylor Rd,43251,,East Cleveland,,0,Vacant lot
129-30-067,13102 Lorenzo Ave,43250,,Cleveland,4,0,Pending transfer
139-19-063,3633 E 153rd St,43250,,Cleveland,1,1,Pending transfer
671-04-103,13513 Claiborne Rd,43250,,East Cleveland,,0,Vacant lot
105-21-113,6314 Orton Ct,43249,,Cleveland,7,0,Vacant lot
105-31-115,1058 E 78th St,43249,,Cleveland,9,0,Vacant lot
108-29-043,711 E 109th St,43249,,Cleveland,9,0,Vacant lot
116-30-088,1543 Clermont Rd,43249,,Cleveland,10,0,Vacant lot
127-10-026,9111 Harris St,43249,,Cleveland,6,0,Vacant lot
134-19-026,4430 Warner Rd,43249,,Cleveland,2,0,Vacant lot
511-16-036,3990 E 53rd St,43249,,Newburgh Heights,,1,Pending transfer
105-30-093,1008 E 78th St,43245,,Cleveland,9,0,Vacant lot
105-33-161,7517 Myron Ave,43245,,Cleveland,7,0,Vacant lot
106-10-028,7204 Dellenbaugh Ave,43245,,Cleveland,7,0,Vacant lot
107-02-024,952 Maud Ave,43245,,Cleveland,9,0,Vacant lot
126-27-079,8023 Holton Ave,43245,,Cleveland,5,0,Pending transfer
671-04-062,13515 Graham Rd,43245,,East Cleveland,,0,Pending transfer
671-13-036,14501 Potomac Ave,43245,,East Cleveland,,0,Vacant lot
672-03-015,1214 Eddy Rd,43245,,East Cleveland,,1,Sched for demolition
672-03-075,1211 Lakefront Ave,43245,,East Cleveland,,0,Vacant lot
672-04-040,1272 N Lockwood Ave,43245,,East Cleveland,,0,Vacant lot
005-26-053,2141 W 96th St,43244,,Cleveland,15,1,Pending transfer
007-31-111,3201 W 32nd St (fr & Rear),43244,,Cleveland,14,0,Vacant lot
108-21-008,9706 Garfield Ave,43244,,Cleveland,9,0,Vacant lot
110-06-022,643 E 124th St,43244,,Cleveland,10,1,Sched for demolition
110-17-071,879 E 129th St,43244,,Cleveland,10,1,Sched for demolition
118-24-076,2248 E 74th St,43244,,Cleveland,5,0,Vacant lot
672-02-081,12713 Phillips Ave,43244,,East Cleveland,,1,Sched for demolition
105-33-156,7417 Myron Ave,43243,,Cleveland,7,0,Vacant lot
107-05-046,8009 Bellvue Ave,43243,,Cleveland,9,0,Vacant lot
109-04-076,10405 Pierpont Ave,43243,,Cleveland,9,1,Sched for demolition
118-18-023,5913 Central Ave,43243,,Cleveland,5,0,Pending transfer
127-23-077,9713 Heath Ave,43243,,Cleveland,6,0,Vacant lot
128-14-062,10314 Lamontier Ave,43243,,Cleveland,4,0,Vacant lot
671-01-038,1300 E 133rd St,43243,,East Cleveland,,0,Vacant lot
671-18-163,1286 E 143rd St,43243,,East Cleveland,,0,Pending transfer
672-15-064,1831 Wadena Ave,43243,,East Cleveland,,0,Pending transfer
673-12-037,1872 Allendale Ave,43243,,East Cleveland,,1,Sched for demolition
107-14-058,1349 E 86th St,43242,,Cleveland,7,1,Unavailable - Demo under contract
108-27-109,10710 Englewood Ave,43242,,Cleveland,9,0,Pending transfer
109-02-097,9202 Kempton Ave,43242,,Cleveland,9,1,Sched for demolition
110-27-062,12426 Phillips Ave,43242,,Cleveland,9,1,"For sale (List Price: $6,500) (Renovation Work Required)"
109-03-175,9806 Pierpont Ave,43241,,Cleveland,9,1,Sched for demolition
109-12-112,10531 Gooding Ave,43241,,Cleveland,9,0,Pending transfer
109-21-055,999 Parkwood Dr,43241,,Cleveland,9,0,Vacant lot
110-07-028,717 E 126th St (fr & Rear),43241,,Cleveland,10,0,Vacant lot
110-31-028,1195 E 114th St,43241,,Cleveland,9,0,Vacant lot
112-14-021,15535 Lake Shore Blvd,43241,,Cleveland,8,0,Pending transfer
137-25-034,13905 Durkee Ave,43241,,Cleveland,2,0,Vacant lot
138-16-090,12819 Hlavin Ave,43238,,Cleveland,2,1,Sched for demolition
671-01-059,1243 E 133rd St,43238,,East Cleveland,,0,Vacant lot
671-01-070,1272 E 134th St,43238,,East Cleveland,,0,Vacant lot
671-19-030,1370 E 141st St,43238,,East Cleveland,,0,Vacant lot
672-04-043,1260 N Lockwood Ave,43238,,East Cleveland,,0,Vacant lot
019-14-087,12605 Hirst,43237,,Cleveland,11,1,Pending transfer
113-22-008,1110 E 171st St,43237,,Cleveland,8,1,Sched for demolition
123-20-014,3016 Victor St,43237,,Cleveland,5,0,Vacant lot
117-15-074,1941 Reyburn Rd,43236,,Cleveland,10,1,Pending transfer
672-15-061,1843 Wadena Ave,43236,,East Cleveland,,1,Pending transfer
129-21-062,2916 E 128th St,43234,,Cleveland,4,0,Pending transfer
130-22-032,3462 E 126th St,43234,,Cleveland,4,0,Vacant lot
123-19-058,4683 Gallup Ave,43231,,Cleveland,5,0,Vacant lot
132-08-003,3637 E 59th St,43231,,Cleveland,12,0,Vacant lot
132-10-004,5502 Fleet Ave,43231,,Cleveland,12,3,Pending transfer
132-25-033,7018 Park Ave,43231,,Cleveland,12,0,Vacant lot
134-13-115,7912 Goodman Ave,43231,,Cleveland,2,0,Vacant lot
135-02-105,9511 Anderson Ave,43231,,Cleveland,6,1,Sched for demolition
137-04-030,3572 E 133rd St,43231,,Cleveland,4,1,Unavailable - Demo under contract
137-09-014,12216 Rexford Ave,43231,,Cleveland,4,1,Sched for demolition
139-10-060,3605 E 144th St,43231,,Cleveland,2,0,Vacant lot
142-05-075,4083 E 147th St,43231,,Cleveland,1,1,Unavailable - Demo under contract
006-06-047,7801 Colgate Ave,43230,,Cleveland,15,0,Vacant lot
007-31-112,3207-09 W 32nd St (ft & Rear),43230,,Cleveland,14,0,Vacant lot
020-09-163,W 128th,43230,,Cleveland,16,0,Pending transfer
108-07-092,686 E 96th St,43229,,Cleveland,10,0,Pending transfer
108-09-062,643 E 101st St,43229,,Cleveland,9,0,Vacant lot
111-02-103,476 E 115th St,43229,,Cleveland,10,0,Vacant lot
129-23-104,11901 Griffing Ave,43229,,Cleveland,4,0,Pending transfer
141-05-043,4334 E 164th St,43229,,Cleveland,1,1,Sched for demolition
104-13-029,6401 Bonna Ave,43228,,Cleveland,7,1,Pending transfer
107-12-097,1327 E 93rd St,43228,,Cleveland,7,0,Vacant lot
108-11-063,590 E 103rd St,43228,,Cleveland,10,0,Vacant lot
108-25-033,10709 Kimberly Ave,43228,,Cleveland,9,0,Vacant lot
131-28-007,3580 Independence Rd,43228,,Cleveland,12,0,Vacant lot
138-18-037,13722 Caine Ave,43228,,Cleveland,1,1,Sched for demolition
006-07-004,7619 Elton Ave,43227,,Cleveland,15,0,Pending transfer
006-07-005,Elton Ave,43227,,Cleveland,15,0,Pending transfer
020-09-161,W 128th,43227,,Cleveland,16,0,Pending transfer
108-20-042,786 E 99th St,43227,,Cleveland,9,0,Vacant lot
108-27-009,772 Parkwood Dr,43227,,Cleveland,9,0,Vacant lot
117-09-100,1761 Hillview Rd,43227,,Cleveland,10,0,Vacant lot
120-12-049,1324 E 124th St,43227,,Cleveland,9,0,Pending transfer
131-28-008,3584 Independence Rd,43227,,Cleveland,12,0,Vacant lot
132-10-074,3811 E 53rd St (fr & Rear),43227,,Cleveland,12,0,Vacant lot
133-19-015,3907 E 71st St,43227,,Cleveland,12,0,Vacant lot
107-12-137,1371 E 94th St,43223,,Cleveland,7,0,Pending transfer
110-17-195,898 E 131st St,43223,,Cleveland,10,0,Vacant lot
110-29-082,12428 Ingomar Ave,43223,,Cleveland,9,0,Pending transfer
112-03-046,13716 Kelso Ave,43223,,Cleveland,8,0,Vacant lot
123-23-011,5421 Magnet Ave,43223,,Cleveland,5,0,Vacant lot
125-14-066,2961 E 65th St,43223,,Cleveland,5,0,Pending transfer
129-15-029,12101 Buckeye Rd,43223,,Cleveland,6,0,Pending transfer
132-06-060,6518 Chambers Ave,43223,,Cleveland,12,0,Vacant lot
